family,code_word,size,cond_strand,core_strand,cond_wire_dia,core_wire_dia,core_od,metal_od,low_temp_degc,low_resistance_ohm_per_mile,hi_temp_degc,hi_resistance_ohm_per_mile,al_weight,st_weight,spec,values_from
ACAR,355 -  12/7,355,12,7,0.1367,0.1367,0.399,0.684,25,0.2776,75,0.3296,333,0.3296,ASTM B 524,Southwire
ACAR,355 - 15/4,355,15,4,0.1367,0.1367,0.182,0.684,25,0.2714,75,0.3233,333.3,0.3233,ASTM B 524,Southwire
ACAR,395.1 - 15/4,395.1,15,4,0.1442,0.1442,0.192,0.721,25,0.2441,75,0.2907,369.9,0.2907,ASTM B 524,Southwire
ACAR,465.9 -  12/7,465.9,12,7,0.1566,0.1566,0.457,0.783,25,0.2121,75,0.2517,435.9,0.2517,ASTM B 524,Southwire
ACAR,503.6 -  12/7,503.6,12,7,0.1628,0.1628,0.475,0.814,25,0.1965,75,0.2330,471.1,0.2330,ASTM B 524,Southwire
ACAR,503.6 - 15/4,503.6,15,4,0.1628,0.1628,0.217,0.814,25,0.1921,75,0.2286,471.5,0.2286,ASTM B 524,Southwire
ACAR,559.5 - 15/4,559.5,15,4,0.1716,0.1716,0.229,0.858,25,0.1732,75,0.2060,523.8,0.2060,ASTM B 524,Southwire
ACAR,587.2 - 15/4,587.2,15,4,0.1758,0.1758,0.234,0.879,25,0.1652,75,0.1964,549.8,0.1964,ASTM B 524,Southwire
ACAR,653.1 -  12/7,653.1,12,7,0.1854,0.1854,0.541,0.927,25,0.1523,75,0.1804,611,0.1804,ASTM B 524,Southwire
ACAR,653.1 - 15/4,653.1,15,4,0.1854,0.1854,0.247,0.927,25,0.1490,75,0.1769,611.5,0.1769,ASTM B 524,Southwire
ACAR,739.8 -  18/19,739.8,18,19,0.1414,0.1414,1.045,0.99,25,0.1378,75,0.1625,691.6,0.1625,ASTM B 524,Southwire
ACAR,739.8 -  30/7,739.8,30,7,0.1414,0.1414,0.231,0.99,25,0.1316,75,0.1562,692.7,0.1562,ASTM B 524,Southwire
ACAR,739.8 - 24/13,739.8,24,13,0.1414,0.1414,0.536,0.99,25,0.1346,75,0.1593,692.1,0.1593,ASTM B 524,Southwire
ACAR,739.8 - 33/4,739.8,33,4,0.1414,0.1414,0.12,0.99,25,0.1302,75,0.1547,693,0.1547,ASTM B 524,Southwire
ACAR,853.7 -  18/19,853.7,18,19,0.1519,0.1519,1.122,1.063,25,0.1201,75,0.1414,798.1,0.1414,ASTM B 524,Southwire
ACAR,853.7 -  30/7,853.7,30,7,0.1519,0.1519,0.248,1.063,25,0.1147,75,0.1359,799.4,0.1359,ASTM B 524,Southwire
ACAR,853.7 - 24/13,853.7,24,13,0.1519,0.1519,0.576,1.063,25,0.1173,75,0.1386,798.7,0.1386,ASTM B 524,Southwire
ACAR,927.2 -  18/19,927.2,18,19,0.1583,0.1583,1.17,1.108,25,0.1110,75,0.1305,866.7,0.1305,ASTM B 524,Southwire
ACAR,927.2 -  30/7,927.2,30,7,0.1583,0.1583,0.259,1.108,25,0.1061,75,0.1255,868.2,0.1255,ASTM B 524,Southwire
ACAR,927.2 - 24/13,927.2,24,13,0.1583,0.1583,0.6,1.108,25,0.1084,75,0.1280,867.5,0.1280,ASTM B 524,Southwire
ACAR,1024.5 -  18/19,1024.5,18,19,0.1664,0.1664,1.23,1.165,25,0.1010,75,0.1187,957.7,0.1187,ASTM B 524,Southwire
ACAR,1024.5 -  30/7,1024.5,30,7,0.1664,0.1664,0.272,1.165,25,0.0966,75,0.1142,959.3,0.1142,ASTM B 524,Southwire
ACAR,1024.5 - 24/13,1024.5,24,13,0.1664,0.1664,0.631,1.165,25,0.0987,75,0.1164,958.5,0.1164,ASTM B 524,Southwire
ACAR,1081 -  18/19,1081,18,19,0.1709,0.1709,1.262,1.196,25,0.0960,75,0.1127,1010.2,0.1127,ASTM B 524,Southwire
ACAR,1081 -  30/7,1081,30,7,0.1709,0.1709,0.279,1.196,25,0.0918,75,0.1084,1011.9,0.1084,ASTM B 524,Southwire
ACAR,1081 - 24/13,1081,24,13,0.1709,0.1709,0.648,1.196,25,0.0939,75,0.1105,1011.1,0.1105,ASTM B 524,Southwire
ACAR,1109 -  18/19,1109,18,19,0.1731,0.1731,1.279,1.212,25,0.0937,75,0.1100,1036.4,0.1100,ASTM B 524,Southwire
ACAR,1109 -  30/7,1109,30,7,0.1731,0.1731,0.283,1.212,25,0.0897,75,0.1058,1038.1,0.1058,ASTM B 524,Southwire
ACAR,1109 - 24/13,1109,24,13,0.1731,0.1731,0.657,1.212,25,0.0917,75,0.1078,1037.2,0.1078,ASTM B 524,Southwire
ACAR,1172 -  18/19,1172,18,19,0.178,0.178,1.315,1.246,25,0.0891,75,0.1044,1095.9,0.1044,ASTM B 524,Southwire
ACAR,1172 -  30/7,1172,30,7,0.178,0.178,0.291,1.246,25,0.0852,75,0.1004,1097.7,0.1004,ASTM B 524,Southwire
ACAR,1172 - 24/13,1172,24,13,0.178,0.178,0.675,1.246,25,0.0871,75,0.1024,1096.8,0.1024,ASTM B 524,Southwire
ACAR,1172 - 33/4,1172,33,4,0.1780,0.1780,0.151,1.246,25,0.0843,75,0.0995,1098.2,0.0995,ASTM B 524,Southwire
ACAR,1197 -  18/19,1197,18,19,0.1799,0.1799,1.329,1.259,25,0.0873,75,0.1023,1119.4,0.1023,ASTM B 524,Southwire
ACAR,1197 -  30/7,1197,30,7,0.1799,0.1799,0.294,1.259,25,0.0836,75,0.0985,1121.3,0.0985,ASTM B 524,Southwire
ACAR,1197 - 24/13,1197,24,13,0.1799,0.1799,0.682,1.259,25,0.0854,75,0.1003,1120.3,0.1003,ASTM B 524,Southwire
ACAR,1280 -  18/19,1280,18,19,0.186,0.186,1.374,1.302,25,0.0821,75,0.0961,1196.6,0.0961,ASTM B 524,Southwire
ACAR,1280 -  30/7,1280,30,7,0.186,0.186,0.304,1.302,25,0.0787,75,0.0925,1198.6,0.0925,ASTM B 524,Southwire
ACAR,1280 - 24/13,1280,24,13,0.186,0.186,0.705,1.302,25,0.0803,75,0.0942,1197.6,0.0942,ASTM B 524,Southwire
ACAR,1362 -  42/19,1362,42,19,0.1494,0.1494,0.608,1.345,25,0.0756,75,0.0886,1274.1,0.0886,ASTM B 524,Southwire
ACAR,1362 - 54/7,1362,54,7,0.1494,0.1494,0.174,1.345,25,0.0737,75,0.0888,1275.4,0.0888,ASTM B 524,Southwire
ACAR,1703 -  42/19,1703,42,19,0.1671,0.1671,0.68,1.504,25,0.0622,75,0.0723,1593.9,0.0723,ASTM B 524,Southwire
ACAR,1703 - 48/13,1703,48,13,0.1671,0.1671,0.407,1.504,25,0.0614,75,0.0715,1594.7,0.0715,ASTM B 524,Southwire
ACAR,1703 - 54/7,1703,54,7,0.1671,0.1671,0.195,1.504,25,0.0607,75,0.0725,1595.5,0.0725,ASTM B 524,Southwire
ACAR,1933 -  42/19,1933,42,19,0.1780,0.1780,0.725,1.602,25,0.0559,75,0.0647,1808.6,0.0647,ASTM B 524,Southwire
ACAR,1933 - 48/13,1933,48,13,0.178,0.178,0.434,1.602,25,0.0553,75,0.0641,1809.5,0.0641,ASTM B 524,Southwire
ACAR,1933 - 54/7,1933,54,7,0.178,0.178,0.208,1.602,25,0.0546,75,0.0648,1810.4,0.0648,ASTM B 524,Southwire
ACAR,2267 -  42/19,2267,42,19,0.1928,0.1928,0.785,1.735,25,0.0496,75,0.0571,2142.7,0.0571,ASTM B 524,Southwire
ACAR,2267 - 48/13,2267,48,13,0.1928,0.1928,0.47,1.735,25,0.0491,75,0.0565,2143.8,0.0565,ASTM B 524,Southwire
ACAR,2267 - 54/7,2267,54,7,0.1928,0.1928,0.225,1.735,25,0.0486,75,0.0571,2144.9,0.0571,ASTM B 524,Southwire
ACAR,2338 -  42/19,2338,42,19,0.1958,0.1958,0.797,1.762,25,0.0484,75,0.0556,2209.9,0.0556,ASTM B 524,Southwire
ACAR,2338 - 48/13,2338,48,13,0.1958,0.1958,0.477,1.762,25,0.0479,75,0.0551,2211,0.0551,ASTM B 524,Southwire
ACAR,2338 - 54/7,2338,54,7,0.1958,0.1958,0.228,1.762,25,0.0474,75,0.0557,2212.1,0.0557,ASTM B 524,Southwire
ACAR,2493 - 54/37,2493,54,37,0.19576,,,1.821,25,0.045936,75,0.0528,2363,,ASTM B 524,Alcan
