family,code_word,size,cond_strand,core_strand,cond_wire_dia,core_wire_dia,core_od,metal_od,strand_lay,low_temp_degc,low_resistance_ohm_per_mile,hi_temp_degc,hi_resistance_ohm_per_mile,al_weight,st_weight,spec,values_from
ACSR,Turkey,6,6,1,0.0661,0.0661,0.0661,0.198,2.66,25,3.454,75,4.320,24.5,11.6,ASTM B 232,Southwire
ACSR,Swan,4,6,1,0.0834,0.0834,0.0834,0.25,3.35,25,2.172,75,2.765,38.9,18.4,ASTM B 232,Southwire
ACSR,Swanate,4,7,1,0.0772,0.1029,0.1029,0.257,3.45,25,2.147,75,2.779,38.9,28,ASTM B 232,Southwire
ACSR,Sparrow,2,6,1,0.1052,0.1052,0.1052,0.316,4.23,25,1.366,75,1.778,61.9,29.3,ASTM B 232,Southwire
ACSR,Sparate,2,7,1,0.0974,0.1299,0.1299,0.325,4.35,25,1.351,75,1.787,61.9,44.7,ASTM B 232,Southwire
ACSR,Robin,1,6,1,0.1181,0.1182,0.1182,0.355,4.75,25,1.083,75,1.427,78.1,37,ASTM B 232,Southwire
ACSR,Raven,1/0,6,1,0.1327,0.1327,0.1327,0.398,5.33,25,0.859,75,1.145,98.5,46.6,ASTM B 232,Southwire
ACSR,Quail,2/0,6,1,0.1489,0.1489,0.1489,0.447,5.99,25,0.681,75,0.924,124.1,58.7,ASTM B 232,Southwire
ACSR,Pigeon,3/0,6,1,0.1672,0.1672,0.1672,0.502,6.72,25,0.541,75,0.746,156.4,74,ASTM B 232,Southwire
ACSR,Penguin,4/0,6,1,0.1878,0.1878,0.1878,0.563,7.55,25,0.434,75,0.611,197.4,93.4,ASTM B 232,Ratekit
ACSR,Grouse,80,8,1,0.100,0.167,0.167,0.367,4.77,25,1.112,75,1.525,75,73.9,ASTM B 232,Southwire
ACSR,Petrel,101.8,12,7,0.0921,0.0921,0.2763,0.461,5.76,25,0.853,75,1.321,95.9,157.9,ASTM B 232,Southwire
ACSR,Minorca,110.8,12,7,0.0961,0.0961,0.2883,0.481,6.01,25,0.783,75,1.233,104.4,171.9,ASTM B 232,Southwire
ACSR,Leghorn,134.6,12,7,0.1059,0.1059,0.3177,0.53,6.62,25,0.645,75,1.053,126.8,208.7,ASTM B 232,Southwire
ACSR,Guinea,159,12,7,0.1151,0.1151,0.3453,0.576,7.19,25,0.491,75,0.921,149.7,246.6,ASTM B 232,Southwire
ACSR,Cochin,211.3,12,7,0.1327,0.1327,0.3981,0.664,8.29,25,0.411,75,0.732,199,327.8,ASTM B 232,Southwire
ACSR,Waxwing,266.8,18,1,0.1217,0.1217,0.1217,0.609,,25,0.3471,75,0.4155,249.9,39.2,ASTM B 232,Southwire
ACSR,Partridge,266.8,26,7,0.1013,0.0788,0.2364,0.642,,25,0.3437,75,0.4113,251.3,115.6,ASTM B 232,Southwire
ACSR,Junco,266.8,30,7,0.0943,0.0943,0.2829,0.66,,25,0.3413,75,0.4083,251.9,165.5,ASTM B 232,Southwire
ACSR,Ostrich,300.0,26,7,0.1074,0.0835,0.2505,0.68,,25,0.3058,75,0.3659,282.5,129.7,ASTM B 232,Southwire
ACSR,Merlin,336.4,18,1,0.1367,0.1367,0.1367,0.684,,25,0.2756,75,0.3298,315.3,49.5,ASTM B 232,Southwire
ACSR,Widgeon,336.4,24,7,0.1184,0.0789,0.2367,0.7103,,25,0.2740,75,0.3279,316.9,115.9,ASTM B 232,Southwire
ACSR,Linnet,336.4,26,7,0.1137,0.0884,0.2652,0.72,,25,0.273,75,0.327,316.6,145.4,ASTM B 232,Ratekit
ACSR,Oriole,336.4,30,7,0.1059,0.1059,0.3177,0.741,,25,0.2708,75,0.3240,317.7,208.7,ASTM B 232,Southwire
ACSR,Chickadee,397.5,18,1,0.1486,0.1486,0.1486,0.743,,25,0.2336,75,0.2794,372.5,58.5,ASTM B 232,Southwire
ACSR,Brant,397.5,24,7,0.1287,0.0858,0.2574,0.772,,25,0.2321,75,0.2777,374.4,137,ASTM B 232,Southwire
ACSR,Ibis,397.5,26,7,0.1236,0.0961,0.2883,0.783,,25,0.2311,75,0.2764,374.1,171.9,ASTM B 232,Southwire
ACSR,Lark,397.5,30,7,0.1151,0.1151,0.3453,0.806,,25,0.2294,75,0.2743,375.3,246.5,ASTM B 232,Southwire
ACSR,Pelican,477.0,18,1,0.1628,0.1628,0.1628,0.814,,25,0.1950,75,0.2331,447.1,70.2,ASTM B 232,Southwire
ACSR,Flicker,477.0,24,7,0.141,0.094,0.282,0.846,,25,0.1937,75,0.2316,449.4,164.5,ASTM B 232,Southwire
ACSR,Hawk,477.0,26,7,0.1354,0.1053,0.3159,0.858,,25,0.1928,75,0.2305,449,206.4,ASTM B 232,Southwire
ACSR,Hen,477.0,30,7,0.1261,0.1261,0.3783,0.883,,25,0.191,75,0.229,450.4,296,ASTM B 232,Ratekit
ACSR,Osprey,556.5,18,1,0.1758,0.1758,0.1758,0.879,,25,0.1676,75,0.2002,521.4,81.8,ASTM B 232,Southwire
ACSR,Parakeet,556.5,24,7,0.1523,0.1015,0.3045,0.914,,25,0.166,75,0.199,524.3,191.8,ASTM B 232,Ratekit
ACSR,Dove,556.5,26,7,0.1463,0.1138,0.3414,0.927,,25,0.1655,75,0.1978,524.2,241,ASTM B 232,Southwire
ACSR,Eagle,556.5,30,7,0.1362,0.1362,0.4086,0.953,,25,0.1642,75,0.1963,525.4,345.2,ASTM B 232,Southwire
ACSR,Peacock,605.0,24,7,0.1588,0.1059,0.3177,0.953,,25,0.1532,75,0.1830,570.1,208.7,ASTM B 232,Southwire
ACSR,Squab,605.0,26,7,0.1525,0.1186,0.3558,0.966,,25,0.1524,75,0.1821,569.5,261.8,ASTM B 232,Southwire
ACSR,Teal,605.0,30,19,0.142,0.0852,0.426,0.994,,25,0.1513,75,0.1808,571.2,367.4,ASTM B 232,Southwire
ACSR,Wood Duck,605.0,30,7,0.142,0.142,0.426,0.994,,25,0.1512,75,0.1806,571.2,375.3,ASTM B 232,Southwire
ACSR,Duck,605.0,54,7,0.1058,0.1058,0.3174,0.952,,25,0.1533,75,0.1880,569.3,208.3,ASTM B 232,Southwire
ACSR,Kingbird,636.0,18,1,0.188,0.188,0.188,0.94,,25,0.1470,75,0.1755,596.3,93.6,ASTM B 232,Southwire
ACSR,Rook,636.0,24,7,0.1628,0.1085,0.3255,0.977,,25,0.1458,75,0.1742,599.1,219.1,ASTM B 232,Southwire
ACSR,Grosbeak,636.0,26,7,0.1564,0.1216,0.3648,0.99,,25,0.1451,75,0.1733,599,275.2,ASTM B 232,Southwire
ACSR,Scoter,636.0,30,7,0.1456,0.1456,0.4368,1.019,,25,0.1439,75,0.1719,600.5,394.6,ASTM B 232,Southwire
ACSR,Egret,636.0,30,19,0.1456,0.0874,0.437,1.019,,25,0.1440,75,0.1720,600.5,386.7,ASTM B 232,Southwire
ACSR,Swift,636.0,36,1,0.1329,0.1329,0.1329,0.93,,25,0.1477,75,0.1763,596,46.8,ASTM B 232,Southwire
ACSR,Goose,636.0,54,7,0.1085,0.1085,0.3255,0.977,,25,0.1459,75,0.1789,598.8,219.1,ASTM B 232,Southwire
ACSR,Flamingo,666.6,24,7,0.1667,0.1111,0.3333,1,,25,0.1393,75,0.1663,628.2,229.7,ASTM B 232,Southwire
ACSR,Gannet,666.6,26,7,0.1601,0.1245,0.3735,1.014,,25,0.1385,75,0.1654,627.7,288.5,ASTM B 232,Southwire
ACSR,Gull,666.6,54,7,0.1111,0.1111,0.3333,0.9999,,25,0.1394,75,0.1708,627.8,229.7,ASTM B 232,Southwire
ACSR,Stilt,715.5,24,7,0.1727,0.1151,0.3453,1.036,,25,0.1299,75,0.1551,674.2,246.6,ASTM B 232,Southwire
ACSR,Starling,715.5,26,7,0.1659,0.129,0.387,1.051,,25,0.1292,75,0.1543,674,309.7,ASTM B 232,Southwire
ACSR,Redwing,715.5,30,19,0.1544,0.0926,0.463,1.081,,25,0.1282,75,0.1531,675.3,434,ASTM B 232,Southwire
ACSR,Crow,715.5,54,7,0.1151,0.1151,0.345,1.04,,25,0.1299,75,0.1592,673.8,246.5,ASTM B 232,Southwire
ACSR,Turbit,795.0,20,7,0.1994,0.0886,0.2658,1.0634,,25,0.1185,75,0.1412,749,146.1,ASTM B 232,Southwire
ACSR,Puffin,795.0,22,7,0.1901,0.1056,0.3168,1.0772,,25,0.1179,75,0.1405,748.8,207.6,ASTM B 232,Southwire
ACSR,Cuckoo,795.0,24,7,0.182,0.1213,0.3639,1.092,,25,0.1172,75,0.1398,748.8,273.9,ASTM B 232,Southwire
ACSR,Drake,795.0,26,7,0.1749,0.136,0.408,1.108,,25,0.117,75,0.139,749.1,344.3,ASTM B 232,Ratekit
ACSR,Skimmer,795.0,30,7,0.1628,0.1628,0.4884,1.14,,25,0.1155,75,0.1379,750.7,493.3,ASTM B 232,Southwire
ACSR,Mallard,795.0,30,19,0.1628,0.0977,0.4885,1.14,,25,0.116,75,0.138,750.7,483.2,ASTM B 232,Ratekit
ACSR,Coot,795.0,36,1,0.1486,0.1486,0.1486,1.04,,25,0.1190,75,0.1417,745.1,58.5,ASTM B 232,Southwire
ACSR,Tern,795.0,45,7,0.1329,0.0886,0.2658,1.063,,25,0.1185,75,0.1421,748.6,146.1,ASTM B 232,Southwire
ACSR,Condor,795.0,54,7,0.1213,0.1213,0.3639,1.092,,25,0.117,75,0.14,748.4,273.9,ASTM B 232,Ratekit
ACSR,Ruddy,900.0,45,7,0.1414,0.0943,0.2829,1.131,,25,0.1051,75,0.1259,847.4,165.5,ASTM B 232,Southwire
ACSR,Canary,900.0,54,7,0.1291,0.1291,0.3873,1.162,,25,0.1039,75,0.1269,847.7,310.2,ASTM B 232,Southwire
ACSR,Corncrake,954.0,20,7,0.2184,0.0971,0.291,1.165,,25,0.0994,75,0.1183,898.5,175.5,ASTM B 232,Southwire
ACSR,Redbird,954.0,24,7,0.1994,0.1329,0.399,1.196,,25,0.0982,75,0.1170,898.8,328.7,ASTM B 232,Southwire
ACSR,Merganser,954.0,30,7,0.1783,0.1783,0.5349,1.2481,,25,0.0967,75,0.1152,900.5,591.7,ASTM B 232,Southwire
ACSR,Rail,954.0,45,7,0.1456,0.0971,0.2913,1.165,,25,0.0994,75,0.1189,898.5,175.5,ASTM B 232,Southwire
ACSR,Cardinal,954.0,54,7,0.1329,0.1329,0.3987,1.196,,25,0.0982,75,0.1199,898.3,328.7,ASTM B 232,Southwire
ACSR,Snowbird,1033.5,42,7,0.1569,0.0872,0.2616,1.203,,25,0.0925,75,0.1105,973.9,141.5,ASTM B 232,Southwire
ACSR,Ortolan,1033.5,45,7,0.1515,0.101,0.303,1.212,,25,0.0922,75,0.11,972.8,189.9,ASTM B 232,Ratekit
ACSR,Curlew,1033.5,54,7,0.1383,0.1383,0.4149,1.245,,25,0.091,75,0.108,972.8,356,ASTM B 232,Ratekit
ACSR,Bluejay,1113.0,45,7,0.1573,0.1049,0.3147,1.259,,25,0.0859,75,0.102,1048.7,204.8,ASTM B 232,Ratekit
ACSR,Finch,1113.0,54,19,0.1436,0.0862,0.431,1.293,,25,0.0851,75,0.101,1053.9,376.1,ASTM B 232,Ratekit
ACSR,Bunting,1192.5,45,7,0.1628,0.1085,0.3255,1.302,,25,0.0805,75,0.0959,1123.4,219.1,ASTM B 232,Southwire
ACSR,Grackle,1192.5,54,19,0.1486,0.0892,0.446,1.338,,25,0.0798,75,0.0970,1128.6,402.8,ASTM B 232,Southwire
ACSR,Bittern,1272.0,45,7,0.1681,0.1121,0.3363,1.345,,25,0.0759,75,0.0898,1197.7,233.9,ASTM B 232,Ratekit
ACSR,Pheasant,1272.0,54,19,0.1535,0.0921,0.4605,1.382,,25,0.0751,75,0.089,1204.3,429.4,ASTM B 232,Ratekit
ACSR,Dipper,1351.5,45,7,0.1733,0.1155,0.3465,1.386,,25,0.0718,75,0.0852,1272.9,248.3,ASTM B 232,Southwire
ACSR,Martin,1351.5,54,19,0.1582,0.0949,0.4745,1.424,,25,0.0710,75,0.0860,1279.1,455.9,ASTM B 232,Southwire
ACSR,Bobolink,1431.0,45,7,0.1783,0.1189,0.3567,1.427,,25,0.0681,75,0.0808,1347.5,263.1,ASTM B 232,Southwire
ACSR,Plover,1431.0,54,19,0.1628,0.0977,0.4885,1.465,,25,0.0673,75,0.0814,1354.6,483.2,ASTM B 232,Southwire
ACSR,Nuthatch,1510.5,45,7,0.1832,0.1221,0.3663,1.466,,25,0.0649,75,0.0768,1422.5,277.5,ASTM B 232,Southwire
ACSR,Parrot,1510.5,54,19,0.1672,0.1003,0.5015,1.505,,25,0.0641,75,0.0774,1428.8,509.2,ASTM B 232,Southwire
ACSR,Lapwing,1590.0,45,7,0.188,0.1253,0.3759,1.504,,25,0.062,75,0.0729,1498.1,292.2,ASTM B 232,Ratekit
ACSR,Falcon,1590.0,54,19,0.1716,0.103,0.515,1.545,,25,0.0611,75,0.0721,1505,537,ASTM B 232,Ratekit
ACSR,Chukar,1780.0,84,19,0.1456,0.0874,0.437,1.602,,25,0.0561,75,0.0658,1685.4,386.7,ASTM B 232,Ratekit
ACSR,Bluebird,2156.0,84,19,0.1602,0.0961,0.4805,1.762,,25,0.0477,75,0.0555,2040.4,467.5,ASTM B 232,Ratekit
ACSR,Kiwi,2167.0,72,7,0.1735,0.1157,0.3471,1.735,,25,0.0484,75,0.0562,2051.4,249.2,ASTM B 232,Ratekit
ACSR,Thrasher,2312.0,76,19,0.1744,0.0814,0.407,1.802,,25,0.0454,75,0.0528,2187.9,335.4,ASTM B 232,Ratekit
ACSR,Joree,2515.0,76,19,0.1819,0.0849,0.4245,1.88,,25,0.0428,75,0.0493,2380.1,364.9,ASTM B 232,Southwire
